Subject geographic 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Cusco, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Huancavelica, Peru","Cajamarca, Peru","Callao, Peru",Peru,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Apurimac, Peru","Ayacucho, Peru","San Martín, Peru","Callao, Peru",Peru,,,,,,,,,,,,,,,,,,,
"Piura, Peru","Lima, Peru","Ayacucho, Peru","Huánuco, Peru","Cajamarca, Peru","Callao, Peru",Peru,,,,,,,,,,,,,,,,,,
"Puno, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Cusco, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,Panamá,Cuba,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"San Martín, Peru","Pucallpa, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"La Libertad, Peru","Otuzco, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"La Libertad, Peru","Otuzco, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"La Libertad, Peru","Otuzco, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"La Libertad, Peru","Otuzco, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"La Libertad, Peru","Otuzco, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"La Libertad, Peru","Otuzco, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"La Libertad, Peru","Otuzco, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"La Libertad, Peru","Otuzco, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"La Libertad, Peru","Otuzco, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Ayacucho, Peru","La Libertad, Peru","Otuzco, Peru",Peru,,,,,,,,,,,,,,,,,,,,,
"Huancavelica, Peru","Ayacucho, Peru","La Libertad, Peru","Otuzco, Peru",Peru,,,,,,,,,,,,,,,,,,,,
"Ayacucho, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Ayacucho, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Puno, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
