Subject geographic 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"Lima, Peru","Puno, Peru","Cusco, Peru","Apurimac, Peru","Ayacucho, Peru","Junín, Peru",Peru,,,,,,,,,,,,,,,,,,
"Lima, Peru","Puno, Peru","Cusco, Peru","Apurimac, Peru","Ayacucho, Peru","Junín, Peru","Ancash, Peru","Lambayeque, Peru","Cajamarca, Peru",Peru,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Ayacucho, Peru","Ancash, Peru",Peru,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Apurimac, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
"Huancavelica, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Puno, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Puno, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Puno, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Puno, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
