Place of origin city,Place of origin country,Place of origin combined,Subject geographic,Subject region,Subject region 2,
Panama City,Panama,"Panama City, Panama",,Central America,Latin America,
Panama City,Panama,"Panama City, Panama",,Central America,Latin America,
Panama City,Panama,"Panama City, Panama",,Central America,Latin America,
Panama City,Panama,"Panama City, Panama",,Central America,Latin America,
Panama City,Panama,"Panama City, Panama",,Central America,Latin America,
Panama City,Panama,"Panama City, Panama",,Central America,Latin America,
Panama City,Panama,"Panama City, Panama",,Central America,Latin America,
Panama City,Panama,"Panama City, Panama",,Central America,Latin America,
Panama City,Panama,"Panama City, Panama",,Central America,Latin America,
Panama City,Panama,"Panama City, Panama",Panama,,Latin America,
Panama City,Panama,"Panama City, Panama",,Central America,Latin America,
Panama City,Panama,"Panama City, Panama",,Central America,Latin America,
Panama City,Panama,"Panama City, Panama",,Central America,Latin America,
Panama City,Panama,"Panama City, Panama",,Central America,Latin America,
Panama City,Panama,"Panama City, Panama",,Central America,Latin America,
Panama City,Panama,"Panama City, Panama",,Central America,Latin America,
Panama City,Panama,"Panama City, Panama",Panama,,Latin America,
Panama City,Panama,"Panama City, Panama",Panama,,Latin America,
Panama City,Panama,"Panama City, Panama",,Central America,Latin America,
Panama City,Panama,"Panama City, Panama",,Central America,Latin America,
Panama City,Panama,"Panama City, Panama",,Central America,Latin America,
Lima,Peru,"Lima, Peru",Peru,Central America,Latin America,
Lima,Peru,"Lima, Peru",Peru,Central America,Latin America,
Rimac,Peru,"Rimac, Peru",Peru,Central America,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
Montevideo,Uruguay,"Montevideo, Uruguay",Uruguay,,Latin America,
